index,voted
0,2.0
1,2.0
2,1.48
3,1.0
4,2.0
5,1.0
6,2.0
7,2.0
8,1.0
9,1.92
10,1.0
11,2.0
12,1.36
13,1.6
14,1.0
15,2.0
16,2.0
17,1.0
18,1.6
19,1.56
20,1.0
21,1.12
22,1.0
23,1.0
24,2.0
25,1.0
26,2.0
27,1.12
28,1.36
29,1.0
30,1.08
31,2.0
32,1.0
33,2.0
34,1.56
35,1.0
36,1.0
37,1.52
38,1.0
39,1.0
40,1.24
41,2.0
42,2.0
43,2.0
44,2.0
45,1.0
46,2.0
47,2.0
48,1.0
49,2.0
50,1.0
51,2.0
52,1.6
53,2.0
54,2.0
55,1.92
56,2.0
57,2.0
58,2.0
59,1.0
60,2.0
61,1.52
62,1.76
63,1.6
64,1.0
65,2.0
66,1.0
67,1.0
68,1.24
69,1.76
70,1.0
71,1.08
72,1.0
73,2.0
74,2.0
75,1.12
76,2.0
77,1.0
78,2.0
79,1.0
80,2.0
81,1.0
82,1.12
83,1.0
84,2.0
85,1.24
86,2.0
87,1.0
88,1.0
89,2.0
90,2.0
91,1.0
92,1.0
93,1.0
94,2.0
95,2.0
96,2.0
97,2.0
98,1.32
99,2.0
100,1.0
101,1.0
102,2.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.12
108,2.0
109,1.0
110,2.0
111,1.0
112,2.0
113,2.0
114,2.0
115,2.0
116,1.6
117,1.0
118,1.0
119,1.0
120,1.0
121,2.0
122,2.0
123,1.0
124,1.0
125,2.0
126,2.0
127,2.0
128,2.0
129,1.0
130,1.0
131,1.12
132,1.0
133,2.0
134,2.0
135,2.0
136,1.0
137,2.0
138,1.0
139,2.0
140,1.28
141,2.0
142,1.0
143,1.0
144,1.24
145,1.12
146,2.0
147,1.0
148,1.24
149,1.64
150,1.0
151,1.0
152,2.0
153,1.48
154,2.0
155,1.36
156,2.0
157,1.0
158,2.0
159,1.0
160,2.0
161,1.0
162,1.0
163,1.36
164,2.0
165,1.56
166,1.28
167,2.0
168,1.36
169,2.0
170,2.0
171,1.36
172,1.0
173,2.0
174,2.0
175,2.0
176,2.0
177,1.0
178,1.0
179,2.0
180,2.0
181,1.72
182,2.0
183,1.0
184,1.0
185,1.0
186,2.0
187,2.0
188,2.0
189,2.0
190,2.0
191,1.88
192,2.0
193,1.0
194,1.12
195,1.0
196,1.0
197,1.0
198,1.0
199,1.32
200,1.0
201,1.24
202,1.0
203,1.0
204,2.0
205,1.0
206,1.0
207,1.0
208,1.0
209,2.0
210,2.0
211,1.08
212,1.0
213,2.0
214,1.0
215,1.2
216,2.0
217,1.0
218,1.0
219,1.0
220,1.36
221,1.0
222,2.0
223,1.0
224,1.0
225,1.0
226,1.0
227,2.0
228,1.36
229,1.0
230,1.0
231,1.0
232,1.0
233,2.0
234,2.0
235,2.0
236,2.0
237,2.0
238,2.0
239,1.36
240,2.0
241,1.84
242,1.0
243,2.0
244,1.36
245,1.0
246,1.0
247,2.0
248,1.0
249,2.0
250,2.0
251,1.0
252,1.0
253,2.0
254,1.0
255,1.0
256,1.0
257,1.12
258,2.0
259,1.0
260,2.0
261,1.56
262,1.0
263,2.0
264,1.0
265,1.0
266,2.0
267,2.0
268,2.0
269,2.0
270,1.0
271,1.0
272,1.64
273,1.0
274,1.0
275,1.88
276,2.0
277,2.0
278,1.68
279,1.0
280,1.52
281,2.0
282,2.0
283,1.24
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,2.0
290,1.0
291,2.0
292,1.0
293,2.0
294,1.6
295,1.0
296,1.0
297,1.0
298,1.0
299,2.0
300,2.0
301,2.0
302,2.0
303,1.12
304,2.0
305,2.0
306,1.56
307,1.24
308,2.0
309,2.0
310,1.0
311,2.0
312,1.4
313,2.0
314,1.0
315,2.0
316,1.12
317,1.0
318,1.0
319,1.0
320,1.48
321,1.0
322,2.0
323,1.0
324,1.88
325,1.0
326,1.0
327,1.0
328,1.0
329,2.0
330,2.0
331,1.0
332,1.0
333,2.0
334,2.0
335,2.0
336,1.24
337,2.0
338,2.0
339,2.0
340,2.0
341,1.0
342,2.0
343,1.0
344,1.88
345,1.24
346,1.0
347,2.0
348,1.0
349,1.0
350,2.0
351,2.0
352,1.0
353,1.0
354,2.0
355,1.0
356,2.0
357,1.0
358,2.0
359,1.0
360,2.0
361,2.0
362,2.0
363,2.0
364,1.76
365,2.0
366,1.84
367,2.0
368,1.0
369,1.0
370,1.24
371,2.0
372,1.0
373,2.0
374,1.0
375,2.0
376,1.0
377,1.0
378,1.0
379,1.0
380,2.0
381,2.0
382,2.0
383,2.0
384,1.0
385,1.0
386,1.0
387,1.0
388,2.0
389,1.0
390,2.0
391,2.0
392,1.0
393,1.76
394,1.0
395,2.0
396,1.0
397,1.44
398,2.0
399,1.0
400,1.0
401,2.0
402,1.72
403,2.0
404,1.0
405,1.0
406,1.0
407,1.0
408,1.0
409,2.0
410,1.0
411,1.16
412,2.0
413,2.0
414,1.0
415,1.12
416,1.12
417,2.0
418,2.0
419,1.92
420,2.0
421,1.12
422,1.0
423,1.24
424,1.0
425,1.0
426,1.0
427,1.12
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,1.0
434,1.2
435,1.0
436,2.0
437,1.84
438,1.0
439,2.0
440,1.8
441,1.0
442,1.12
443,1.64
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,2.0
450,1.0
451,1.76
452,1.0
453,1.36
454,1.0
455,1.12
456,1.12
457,2.0
458,2.0
459,2.0
460,1.0
461,1.0
462,2.0
463,2.0
464,1.0
465,1.0
466,1.0
467,2.0
468,1.6
469,2.0
470,2.0
471,2.0
472,2.0
473,1.0
474,1.64
475,2.0
476,1.48
477,2.0
478,2.0
479,2.0
480,1.0
481,2.0
482,1.0
483,1.64
484,2.0
485,2.0
486,1.0
487,1.0
488,1.0
489,1.0
490,2.0
491,1.0
492,1.0
493,1.36
494,2.0
495,1.0
496,1.12
497,2.0
498,1.0
499,1.12
500,1.92
501,2.0
502,1.0
503,1.44
504,1.0
505,2.0
506,1.0
507,1.0
508,1.0
509,2.0
510,1.12
511,2.0
512,1.12
513,1.8
514,2.0
515,1.12
516,1.0
517,1.0
518,1.0
519,2.0
520,1.0
521,1.0
522,2.0
523,1.0
524,1.0
525,2.0
526,2.0
527,2.0
528,2.0
529,2.0
530,2.0
531,1.24
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,1.48
538,1.2
539,1.0
540,1.0
541,1.36
542,2.0
543,1.12
544,1.28
545,1.24
546,2.0
547,1.0
548,2.0
549,2.0
550,1.0
551,1.0
552,1.0
553,2.0
554,1.0
555,1.0
556,1.0
557,2.0
558,1.8
559,2.0
560,2.0
561,1.88
562,1.0
563,2.0
564,2.0
565,2.0
566,1.0
567,1.36
568,2.0
569,1.0
570,1.0
571,2.0
572,1.0
573,2.0
574,1.0
575,2.0
576,1.0
577,1.72
578,2.0
579,2.0
580,1.0
581,2.0
582,2.0
583,1.0
584,2.0
585,2.0
586,1.0
587,1.48
588,2.0
589,1.0
590,2.0
591,1.0
592,1.12
593,1.0
594,1.0
595,1.24
596,1.0
597,1.0
598,2.0
599,1.68
600,1.68
601,1.0
602,2.0
603,2.0
604,1.0
605,1.0
606,1.0
607,1.0
608,2.0
609,2.0
610,1.0
611,1.6
612,1.24
613,1.44
614,1.0
615,1.0
616,1.0
617,1.0
618,1.0
619,2.0
620,1.0
621,1.0
622,1.0
623,1.0
624,1.36
625,1.0
626,2.0
627,2.0
628,2.0
629,2.0
630,2.0
631,1.0
632,2.0
633,1.0
634,1.92
635,2.0
636,1.0
637,1.36
638,1.0
639,2.0
640,2.0
641,1.52
642,1.0
643,1.12
644,1.0
645,1.24
646,2.0
647,1.92
648,1.0
649,1.0
650,2.0
651,1.12
652,2.0
653,1.0
654,1.6
655,1.68
656,1.0
657,1.0
658,2.0
659,2.0
660,1.0
661,2.0
662,1.12
663,2.0
664,2.0
665,1.0
666,2.0
667,1.0
668,2.0
669,1.08
670,1.0
671,1.6
672,2.0
673,2.0
674,1.0
675,1.0
676,2.0
677,1.0
678,2.0
679,1.0
680,1.0
681,2.0
682,2.0
683,2.0
684,1.0
685,2.0
686,1.0
687,2.0
688,1.36
689,1.76
690,1.0
691,2.0
692,2.0
693,2.0
694,1.0
695,1.68
696,2.0
697,1.0
698,1.68
699,1.0
700,1.0
701,1.0
702,1.0
703,1.0
704,2.0
705,2.0
706,2.0
707,2.0
708,2.0
709,1.88
710,2.0
711,1.0
712,1.0
713,1.0
714,2.0
715,2.0
716,1.0
717,2.0
718,1.48
719,1.0
720,2.0
721,2.0
722,1.0
723,2.0
724,1.12
725,1.0
726,2.0
727,2.0
728,1.0
729,1.44
730,2.0
731,1.88
732,2.0
733,2.0
734,1.0
735,2.0
736,2.0
737,2.0
738,2.0
739,1.72
740,1.0
741,2.0
742,2.0
743,2.0
744,2.0
745,1.0
746,1.0
747,1.0
748,1.0
749,1.8
750,1.16
751,2.0
752,1.0
753,2.0
754,1.0
755,2.0
756,2.0
757,1.0
758,2.0
759,1.0
760,1.0
761,2.0
762,1.0
763,1.0
764,2.0
765,1.0
766,2.0
767,1.0
768,2.0
769,2.0
770,1.0
771,2.0
772,2.0
773,2.0
774,1.0
775,1.16
776,1.0
777,1.0
778,1.0
779,1.88
780,2.0
781,2.0
782,1.0
783,1.92
784,2.0
785,1.12
786,1.0
787,1.0
788,1.0
789,1.0
790,1.12
791,1.0
792,1.48
793,1.76
794,2.0
795,1.88
796,1.0
797,2.0
798,1.0
799,1.0
800,2.0
801,2.0
802,2.0
803,2.0
804,1.36
805,1.0
806,1.24
807,1.0
808,1.0
809,1.48
810,2.0
811,1.0
812,1.0
813,1.76
814,2.0
815,1.0
816,1.52
817,2.0
818,1.0
819,2.0
820,1.0
821,2.0
822,1.0
823,1.0
824,2.0
825,1.0
826,1.0
827,2.0
828,2.0
829,2.0
830,1.0
831,1.12
832,2.0
833,1.0
834,1.24
835,2.0
836,1.0
837,1.0
838,1.0
839,1.0
840,1.12
841,1.0
842,2.0
843,2.0
844,1.0
845,1.08
846,1.76
847,1.24
848,2.0
849,1.0
850,2.0
851,1.36
852,2.0
853,2.0
854,1.0
855,2.0
856,2.0
857,1.52
858,1.0
859,1.0
860,2.0
861,1.0
862,1.0
863,1.12
864,1.08
865,2.0
866,1.0
867,1.0
868,1.0
869,1.0
870,1.0
871,1.48
872,1.0
873,2.0
874,1.0
875,1.36
876,1.0
877,1.0
878,1.0
879,2.0
880,2.0
881,1.08
882,2.0
883,2.0
884,1.6
885,1.92
886,1.08
887,2.0
888,1.52
889,2.0
890,2.0
891,2.0
892,1.0
893,1.0
894,1.0
895,1.0
896,2.0
897,2.0
898,2.0
899,2.0
900,2.0
901,2.0
902,1.0
903,1.76
904,1.36
905,1.0
906,1.0
907,1.0
908,1.0
909,2.0
910,1.0
911,1.0
912,1.0
913,1.0
914,1.0
915,1.0
916,2.0
917,2.0
918,1.0
919,1.84
920,1.0
921,1.0
922,1.0
923,2.0
924,1.36
925,1.0
926,2.0
927,1.0
928,2.0
929,1.0
930,1.56
931,1.76
932,2.0
933,2.0
934,1.0
935,1.6
936,1.0
937,2.0
938,2.0
939,1.0
940,2.0
941,1.0
942,1.12
943,1.0
944,1.0
945,2.0
946,1.0
947,2.0
948,1.0
949,1.0
950,1.76
951,1.0
952,1.68
953,1.64
954,1.0
955,1.0
956,1.12
957,1.0
958,2.0
959,1.2
960,1.88
961,1.0
962,1.12
963,1.0
964,1.0
965,2.0
966,1.0
967,1.6
968,2.0
969,1.12
970,1.88
971,1.12
972,2.0
973,1.64
974,1.44
975,1.64
976,1.28
977,2.0
978,1.0
979,1.0
980,2.0
981,1.0
982,2.0
983,1.0
984,1.76
985,2.0
986,2.0
987,2.0
988,1.12
989,1.0
990,1.0
991,1.0
992,2.0
993,1.0
994,2.0
995,1.0
996,2.0
997,1.0
998,1.72
999,1.0
1000,1.0
1001,1.48
1002,1.76
1003,1.0
1004,2.0
1005,1.76
1006,1.0
1007,2.0
1008,2.0
1009,1.0
1010,1.0
1011,1.48
1012,1.8
1013,1.12
1014,2.0
1015,1.88
1016,2.0
1017,1.0
1018,1.0
1019,1.0
1020,2.0
1021,2.0
1022,1.52
1023,1.08
1024,1.24
1025,1.0
1026,1.0
1027,1.0
1028,1.0
1029,1.0
1030,2.0
1031,2.0
1032,2.0
1033,1.0
1034,1.0
1035,2.0
1036,1.88
1037,1.0
1038,1.52
1039,2.0
1040,2.0
1041,1.0
1042,1.0
1043,1.0
1044,2.0
1045,1.0
1046,1.0
1047,2.0
1048,1.0
1049,1.0
1050,2.0
1051,2.0
1052,1.24
1053,1.0
1054,2.0
1055,1.0
1056,2.0
1057,2.0
1058,1.0
1059,1.0
1060,1.0
1061,1.24
1062,1.0
1063,1.28
1064,1.36
1065,1.0
1066,2.0
1067,1.0
1068,1.0
1069,1.12
1070,1.12
1071,2.0
1072,1.0
1073,1.0
1074,2.0
1075,1.0
1076,1.12
1077,2.0
1078,1.0
1079,2.0
1080,2.0
1081,1.0
1082,1.0
1083,2.0
1084,1.0
1085,1.0
1086,1.0
1087,1.92
1088,2.0
1089,2.0
1090,1.24
1091,1.36
1092,2.0
1093,1.0
1094,1.0
1095,1.0
1096,2.0
1097,2.0
1098,2.0
1099,2.0
1100,1.0
1101,1.36
1102,1.88
1103,2.0
1104,1.12
1105,2.0
1106,1.0
1107,1.68
1108,1.92
1109,1.76
1110,1.48
1111,1.48
1112,1.0
1113,1.0
1114,2.0
1115,2.0
1116,2.0
1117,1.12
1118,2.0
1119,1.0
1120,1.0
1121,2.0
1122,1.0
1123,2.0
1124,2.0
1125,1.76
1126,2.0
1127,2.0
1128,1.0
1129,1.24
1130,1.8
1131,2.0
1132,1.0
1133,1.52
1134,1.0
1135,2.0
1136,1.0
1137,1.0
1138,2.0
1139,1.12
1140,2.0
1141,2.0
1142,1.4
1143,1.12
1144,1.0
1145,1.0
1146,1.64
1147,1.0
1148,1.24
1149,2.0
1150,1.0
1151,2.0
1152,1.0
1153,2.0
1154,1.0
1155,1.0
1156,1.0
1157,1.0
1158,1.0
1159,1.0
1160,2.0
1161,1.0
1162,1.44
1163,1.0
1164,1.36
1165,1.0
1166,1.0
1167,1.0
1168,1.84
1169,2.0
1170,1.48
1171,2.0
1172,1.0
1173,2.0
1174,1.12
1175,1.0
1176,2.0
1177,2.0
1178,1.0
1179,2.0
1180,1.6
1181,2.0
1182,1.0
1183,1.0
1184,1.0
1185,1.12
1186,1.0
1187,2.0
1188,2.0
1189,2.0
1190,1.24
1191,1.24
1192,2.0
1193,1.48
1194,1.0
1195,2.0
1196,1.0
1197,1.0
1198,2.0
1199,1.0
1200,1.0
1201,2.0
1202,1.32
1203,2.0
1204,1.0
1205,1.0
1206,2.0
1207,2.0
1208,1.0
1209,2.0
1210,1.6
1211,1.6
1212,2.0
1213,1.92
1214,1.76
1215,1.0
1216,1.2
1217,1.0
1218,1.0
1219,2.0
1220,2.0
1221,2.0
1222,1.0
1223,1.48
1224,1.92
1225,2.0
1226,1.0
1227,1.0
1228,1.0
1229,1.0
1230,1.0
1231,2.0
1232,1.0
1233,2.0
1234,2.0
1235,1.0
1236,1.12
1237,1.0
1238,2.0
1239,1.0
1240,1.0
1241,1.0
1242,1.0
1243,1.0
1244,1.52
1245,2.0
1246,2.0
1247,1.0
1248,1.24
1249,2.0
1250,1.48
1251,2.0
1252,1.6
1253,2.0
1254,1.36
1255,2.0
1256,2.0
1257,2.0
1258,1.0
1259,1.0
1260,2.0
1261,2.0
1262,2.0
1263,1.0
1264,2.0
1265,1.0
1266,2.0
1267,1.0
1268,2.0
1269,1.0
1270,1.0
1271,1.76
1272,1.12
1273,2.0
1274,2.0
1275,2.0
1276,1.56
1277,2.0
1278,1.0
1279,2.0
1280,2.0
1281,1.72
1282,1.0
1283,1.0
1284,1.0
1285,1.0
1286,1.0
1287,2.0
1288,2.0
1289,2.0
1290,2.0
1291,1.44
1292,1.36
1293,1.0
1294,1.0
1295,2.0
1296,1.0
1297,1.12
1298,1.0
1299,1.12
1300,2.0
1301,2.0
1302,2.0
1303,1.0
1304,1.0
1305,2.0
1306,2.0
1307,1.0
1308,1.0
1309,2.0
1310,1.0
1311,2.0
1312,2.0
1313,2.0
1314,2.0
1315,1.0
1316,1.68
1317,2.0
1318,1.0
1319,2.0
1320,1.0
1321,2.0
1322,2.0
1323,1.0
1324,1.16
1325,1.76
1326,2.0
1327,1.0
1328,1.0
1329,2.0
1330,2.0
1331,1.12
1332,1.0
1333,1.0
1334,1.0
1335,2.0
1336,2.0
1337,1.0
1338,1.12
1339,2.0
1340,2.0
1341,2.0
1342,2.0
1343,1.36
1344,1.0
1345,1.0
1346,2.0
