index,voted
0,1.6574395
1,1.9284265
2,1.5027214
3,1.2064025
4,1.7343953
5,1.4586207
6,1.8945818
7,1.5809525
8,1.3457953
9,1.5852749
10,1.3096957
11,1.8029324
12,1.4974493
13,1.5176096
14,1.3686846
15,1.9843315
16,1.8273784
17,1.301097
18,1.5099295
19,1.5168409
20,1.4042964
21,1.4352671
22,1.1799694
23,1.3361926
24,1.6914356
25,1.1395557
26,1.9811108
27,1.4583716
28,1.5099801
29,1.2566874
30,1.3883154
31,1.8007325
32,1.2556599
33,1.6680933
34,1.6286403
35,1.2265098
36,1.3451201
37,1.5075501
38,1.4019507
39,1.3319688
40,1.464812
41,1.9330152
42,1.8558506
43,1.6480194
44,1.9805969
45,1.3578479
46,1.7494183
47,1.98458
48,1.4129548
49,1.8995461
50,1.2797067
51,1.9049555
52,1.4994768
53,1.8633908
54,1.9873288
55,1.635538
56,1.6201626
57,1.6835938
58,1.843492
59,1.3499881
60,1.9168789
61,1.534139
62,1.5365851
63,1.6602534
64,1.3695667
65,1.7027171
66,1.3741641
67,1.236317
68,1.4996791
69,1.5328338
70,1.2278322
71,1.4787753
72,1.2755182
73,1.7919838
74,1.8931341
75,1.4826521
76,1.7432514
77,1.2296826
78,1.5890081
79,1.3658175
80,1.9852064
81,1.3601193
82,1.490588
83,1.3762954
84,1.8196263
85,1.5054476
86,1.8000122
87,1.3913484
88,1.3368322
89,1.7628754
90,1.9879729
91,1.3194224
92,1.27768
93,1.4071128
94,1.5814013
95,1.8643903
96,1.6839772
97,1.9242485
98,1.5137082
99,1.579565
100,1.2369065
101,1.4383857
102,1.726563
103,1.4073099
104,1.2182311
105,1.3829644
106,1.3982897
107,1.4490852
108,1.7828611
109,1.2918286
110,1.6615363
111,1.2210238
112,1.8526696
113,1.8106428
114,1.9038339
115,1.9808626
116,1.5508578
117,1.3060192
118,1.2922256
119,1.3131411
120,1.4209553
121,1.8593473
122,1.9813414
123,1.2530985
124,1.3297797
125,1.5937337
126,1.9887469
127,1.8059119
128,1.9827464
129,1.4743372
130,1.3082372
131,1.4129333
132,1.3099182
133,1.8735417
134,1.9868106
135,1.9082302
136,1.2606077
137,1.8130021
138,1.349969
139,1.9835209
140,1.4481045
141,1.8551761
142,1.2134708
143,1.3634385
144,1.4614799
145,1.4464347
146,1.8195696
147,1.2617766
148,1.5053513
149,1.5306581
150,1.3495667
151,1.379356
152,1.6763803
153,1.4754101
154,1.6064609
155,1.4906644
156,1.8851122
157,1.4115711
158,1.9898878
159,1.4621757
160,1.875088
161,1.4128783
162,1.2923157
163,1.5041596
164,1.7108148
165,1.5155818
166,1.4540453
167,1.9206765
168,1.4764191
169,1.9650794
170,1.9857136
171,1.4806367
172,1.2922212
173,1.8056146
174,1.7514758
175,1.7504491
176,1.8815205
177,1.3803511
178,1.1595972
179,1.9809132
180,1.9829276
181,1.5287595
182,1.9680947
183,1.4190271
184,1.330686
185,1.4062184
186,1.543068
187,1.6641202
188,1.7682619
189,1.6203048
190,1.7020668
191,1.5812413
192,1.7118418
193,1.2739047
194,1.4821196
195,1.2951686
196,1.3186464
197,1.181213
198,1.3175466
199,1.4728881
200,1.4075624
201,1.5094337
202,1.2603408
203,1.209938
204,1.9882257
205,1.2125357
206,1.3170171
207,1.2509189
208,1.2540228
209,1.7972606
210,1.985284
211,1.4827793
212,1.3021059
213,1.9821342
214,1.3186222
215,1.4537864
216,1.7411665
217,1.3272251
218,1.2521937
219,1.2863685
220,1.5196767
221,1.3564162
222,1.8630831
223,1.2294077
224,1.4769238
225,1.3129302
226,1.4451965
227,1.9890474
228,1.493926
229,1.4117007
230,1.3465686
231,1.3405982
232,1.368063
233,1.7693545
234,1.9879158
235,1.7435938
236,1.985685
237,1.833954
238,1.775778
239,1.4752072
240,1.5852164
241,1.5365963
242,1.3170114
243,1.655598
244,1.4705265
245,1.2706957
246,1.295912
247,1.6229899
248,1.3451254
249,1.826519
250,1.8540401
251,1.3396839
252,1.4109737
253,1.5793216
254,1.257618
255,1.384611
256,1.292399
257,1.379201
258,1.8817515
259,1.4579102
260,1.9785511
261,1.5418732
262,1.370189
263,1.6292872
264,1.3723211
265,1.2473879
266,1.7667183
267,1.8881881
268,1.6963782
269,1.8446692
270,1.3637782
271,1.2795554
272,1.517417
273,1.3224304
274,1.3786156
275,1.5614008
276,1.988903
277,1.9887443
278,1.6072859
279,1.2483016
280,1.5421269
281,1.8196489
282,1.743217
283,1.4718667
284,1.3056203
285,1.3974147
286,1.3202903
287,1.2709897
288,1.2369825
289,1.8319277
290,1.2455292
291,1.7616012
292,1.2520123
293,1.6941757
294,1.5739561
295,1.3575139
296,1.2816619
297,1.1492456
298,1.3282253
299,1.7705183
300,1.8142447
301,1.7656685
302,1.7756779
303,1.4263052
304,1.9811437
305,1.8343394
306,1.5805238
307,1.4901586
308,1.605169
309,1.7478471
310,1.2824945
311,1.7970333
312,1.4557291
313,1.7917814
314,1.3386455
315,1.9822854
316,1.4172177
317,1.3984061
318,1.3860773
319,1.3029231
320,1.4832511
321,1.3980554
322,1.6174009
323,1.4591569
324,1.5194411
325,1.452082
326,1.3513438
327,1.3915236
328,1.3359498
329,1.8709494
330,1.9881136
331,1.2731609
332,1.3600599
333,1.6228062
334,1.9887397
335,1.7727512
336,1.437196
337,1.6825116
338,1.6052169
339,1.9126316
340,1.933678
341,1.2722151
342,1.8066288
343,1.326765
344,1.5729266
345,1.5165468
346,1.3469292
347,1.901764
348,1.3027182
349,1.3230811
350,1.9816651
351,1.9863755
352,1.1475718
353,1.3339453
354,1.8614864
355,1.2012062
356,1.7355738
357,1.4392089
358,1.9895059
359,1.2643582
360,1.8440889
361,1.7775009
362,1.6966062
363,1.758195
364,1.5469325
365,1.7953483
366,1.5440419
367,1.6648446
368,1.2942839
369,1.2937808
370,1.4025441
371,1.6307144
372,1.2785643
373,1.75524
374,1.3369482
375,1.9126211
376,1.2895734
377,1.3843527
378,1.4546648
379,1.3184459
380,1.6025002
381,1.7746491
382,1.6444165
383,1.6595973
384,1.3672837
385,1.2945516
386,1.4422172
387,1.3389673
388,1.7055477
389,1.3873006
390,1.5748554
391,1.6133121
392,1.4282694
393,1.5344822
394,1.2357193
395,1.6629045
396,1.3311322
397,1.4823195
398,1.8153147
399,1.2710496
400,1.4378642
401,1.8803574
402,1.5137985
403,1.9909152
404,1.3627827
405,1.4048003
406,1.22676
407,1.4201639
408,1.3949629
409,1.5430484
410,1.3993436
411,1.4692358
412,1.5736902
413,1.5804399
414,1.3026037
415,1.4443836
416,1.4419549
417,1.9271964
418,1.9853346
419,1.5562577
420,1.6998534
421,1.409448
422,1.3652462
423,1.489175
424,1.2034036
425,1.2073551
426,1.3047025
427,1.4617399
428,1.3479396
429,1.2571054
430,1.3111514
431,1.2784338
432,1.3224825
433,1.3759266
434,1.4652389
435,1.2847104
436,1.679213
437,1.5868391
438,1.3626294
439,1.985983
440,1.5166361
441,1.4071023
442,1.4869105
443,1.5799303
444,1.2848974
445,1.2828144
446,1.3359019
447,1.4298342
448,1.423839
449,1.6624036
450,1.4481912
451,1.5030358
452,1.3443342
453,1.4621668
454,1.4063543
455,1.4078852
456,1.4285139
457,1.8338156
458,1.6767366
459,1.9872036
