index,voted
0,1.9611392
1,1.9998733
2,1.9817369
3,1.3670912
4,1.8307137
5,1.3744466
6,1.9900583
7,1.7306402
8,1.1256632
9,1.8260413
10,1.4212961
11,1.8998392
12,1.430456
13,1.7281287
14,1.4503143
15,1.987495
16,1.8338537
17,1.1830509
18,1.3778491
19,1.6858085
20,1.4232874
21,1.70723
22,1.6702543
23,1.2844193
24,1.9903151
25,1.018382
26,1.9924047
27,1.5494578
28,1.8325565
29,1.5023471
30,1.7168279
31,1.1638528
32,1.025006
33,1.3778696
34,1.4915887
35,1.216475
36,1.8960134
37,1.1243386
38,1.0311581
39,1.2440727
40,1.7076879
41,1.9952632
42,1.9898075
43,1.8858852
44,1.9998679
45,1.8405763
46,1.7200173
47,1.9992179
48,1.058951
49,1.9728591
50,1.1407713
51,1.6701587
52,1.1678936
53,1.3489962
54,1.9997411
55,1.0284262
56,1.8148588
57,1.631769
58,1.9029588
59,1.1853155
60,1.9833747
61,1.4688709
62,1.0532631
63,1.7628076
64,1.050864
65,1.2413305
66,1.5840853
67,1.3156643
68,1.7311453
69,1.8274472
70,1.4964143
71,1.1374756
72,1.2287297
73,1.8332181
74,1.9869294
75,1.0192717
76,1.9071509
77,1.1089813
78,1.5613763
79,1.0353074
80,1.9969058
81,1.3825538
82,1.5787113
83,1.255341
84,1.9693996
85,1.6135206
86,1.9086189
87,1.2540607
88,1.6414449
89,1.9181725
90,1.9999049
91,1.1126472
92,1.2256287
93,1.3460424
94,1.2603487
95,1.9933671
96,1.596414
97,1.9998499
98,1.1706845
99,1.6620674
100,1.0105448
101,1.3244308
102,1.894751
103,1.8245435
104,1.3393617
105,1.285081
106,1.0165337
107,1.0398673
108,1.8184923
109,1.190515
110,1.7238572
111,1.0395461
112,1.9877778
113,1.8465785
114,1.9786156
115,1.9443573
116,1.4820907
117,1.0242214
118,1.5291779
119,1.7920257
120,1.2811038
121,1.3920085
122,1.9999268
123,1.0187045
124,1.3840355
125,1.6952405
126,1.9998533
127,1.9199122
128,1.9981794
129,1.7898834
130,1.03244
131,1.0219097
132,1.0410279
133,1.9973688
134,1.999277
135,1.9631542
136,1.171415
137,1.765622
138,1.4179548
139,1.9998608
140,1.7882745
141,1.8420048
142,1.0320666
143,1.3010218
144,1.4929616
145,1.3874995
146,1.9705416
147,1.438869
148,1.5342487
149,1.027502
150,1.0831076
151,1.1428809
152,1.7891356
153,1.5245641
154,1.4369105
155,1.3759348
156,1.9789879
157,1.4951103
158,1.9983804
159,1.3219994
160,1.956161
161,1.2512301
162,1.1519097
163,1.9229498
164,1.2475818
165,1.8741868
166,1.2142173
167,1.9971789
168,1.3595908
169,1.9999529
170,1.9995024
171,1.6039853
172,1.4023123
173,1.9432086
174,1.9976112
175,1.9039294
176,1.9533417
177,1.4693214
178,1.0943152
179,1.9999092
180,1.9991492
181,1.9839737
182,1.8464109
183,1.0779113
184,1.3361498
185,1.3982182
186,1.737212
187,1.7284464
188,1.5771246
189,1.9183007
190,1.8656815
191,1.1111752
192,1.5798104
193,1.0434068
194,1.3496575
195,1.433409
196,1.0789988
197,1.0105244
198,1.1224623
199,1.5310348
200,1.1625122
201,1.3008775
202,1.1689914
203,1.5616693
204,1.9999229
205,1.1504906
206,1.5968332
207,1.6979772
208,1.3691125
209,1.9686322
210,1.9993184
211,1.6064924
212,1.0579789
213,1.7627133
214,1.0497913
215,1.5469053
216,1.4299829
217,1.207912
218,1.2799793
219,1.5457836
220,1.9391292
221,1.3665501
222,1.9336958
223,1.3019382
224,1.1803098
225,1.3512223
226,1.6643708
227,1.9990512
228,1.3256998
229,1.3189846
230,1.2559456
231,1.0556167
232,1.1463317
233,1.9392744
234,1.9995122
235,1.9719336
236,1.8774041
237,1.5888332
238,1.9596324
239,1.6909163
240,1.9141871
241,1.0650146
242,1.0885434
243,1.7557237
244,1.8956325
245,1.0581121
246,1.0362518
247,1.7599884
248,1.1269053
249,1.9761204
250,1.9551252
251,1.0746857
252,1.0980414
253,1.9736961
254,1.3902373
255,1.3007077
256,1.1293797
257,1.4705753
258,1.9624422
259,1.8893704
260,1.9999638
261,1.9784269
262,1.0168138
263,1.9892248
264,1.5319782
265,1.1183048
266,1.0961555
267,1.9970323
268,1.7162743
269,1.6465282
270,1.1047668
271,1.5006428
272,1.9430628
273,1.9480733
274,1.4626915
275,1.807571
276,1.9999405
277,1.9999661
278,1.8756506
279,1.6313257
280,1.0949043
281,1.8901347
282,1.9310516
283,1.4259244
284,1.1862557
285,1.3809637
286,1.5193529
287,1.6098576
288,1.2854186
289,1.9476464
290,1.0575361
291,1.9879218
292,1.3113292
293,1.666976
294,1.5539273
295,1.2731521
296,1.0151815
297,1.2019385
298,1.2023743
299,1.8518842
300,1.9899575
301,1.1654112
302,1.918605
303,1.1910344
304,1.9928602
305,1.9954087
306,1.3172667
307,1.1308906
308,1.4677335
309,1.9813678
310,1.0073887
311,1.9852276
312,1.0488199
313,1.2348634
314,1.6930302
315,1.9996958
316,1.4530025
317,1.106099
318,1.1291176
319,1.0545058
320,1.5042146
321,1.1073871
322,1.8110808
323,1.8130153
324,1.1820681
325,1.7159609
326,1.2884171
327,1.543365
328,1.0395769
329,1.9468347
330,1.9999559
331,1.1582985
332,1.0231059
333,1.5952344
334,1.9998672
335,1.4236611
336,1.3515004
337,1.410422
338,1.8479255
339,1.9343705
340,1.9981377
341,1.2731006
342,1.9907038
343,1.5042608
344,1.9739155
345,1.0226071
346,1.0247194
347,1.9428453
348,1.196957
349,1.0794555
350,1.9978609
351,1.9995738
352,1.0502243
353,1.293633
354,1.7228024
355,1.0199105
356,1.5826612
357,1.2111458
358,1.9989614
359,1.1169822
360,1.8160608
361,1.9435426
362,1.8412403
363,1.9412103
364,1.4919653
365,1.9783398
366,1.6377134
367,1.982433
368,1.5627457
369,1.5222427
370,1.5287156
371,1.9263321
372,1.0750898
373,1.6666158
374,1.4039301
375,1.9985557
376,1.0564435
377,1.7734085
378,1.7465794
379,1.4660645
380,1.736041
381,1.5078245
382,1.1132832
383,1.6705102
384,1.2373513
385,1.9444991
386,1.0755837
387,1.3439404
388,1.1683515
389,1.1976047
390,1.8479077
391,1.1775268
392,1.2441012
393,1.9236873
394,1.1176517
395,1.8302637
396,1.306703
397,1.1059244
398,1.9806798
399,1.583149
400,1.9833534
401,1.9352216
402,1.4293145
403,1.9994786
404,1.1408074
405,1.3478012
406,1.2181188
407,1.4472934
408,1.1897845
409,1.9492905
410,1.0398203
411,1.1037784
412,1.6614075
413,1.9238857
414,1.3755121
415,1.278168
416,1.6384331
417,1.9737142
418,1.999892
419,1.2646527
420,1.7897301
421,1.6056775
422,1.5499966
423,1.3164579
424,1.0483764
425,1.1780635
426,1.0992341
427,1.3092762
428,1.066831
429,1.3239912
430,1.2257185
431,1.0209093
432,1.6198581
433,1.5339583
434,1.6474077
435,1.5504681
436,1.9223608
437,1.7762691
438,1.6973487
439,1.9996827
440,1.5696647
441,1.5450348
442,1.6719503
443,1.5885789
444,1.2713588
445,1.0600184
446,1.4923843
447,1.3764062
448,1.6667763
449,1.6221217
450,1.4840115
451,1.2467604
452,1.2337298
453,1.3380797
454,1.0114158
455,1.9083753
456,1.8062706
457,1.9992291
458,1.2006522
459,1.9971303
460,1.1051418
461,1.0447729
462,1.9898188
463,1.8223088
464,1.2836189
465,1.2667102
466,1.2236671
467,1.9994159
468,1.5189309
469,1.9832916
470,1.8905252
471,1.7641546
472,1.846153
473,1.0250282
474,1.5015507
475,1.7716929
476,1.3369826
477,1.9595466
478,1.9979895
479,1.9999766
480,1.0427283
481,1.9219325
482,1.8200452
483,1.1933553
484,1.9996288
485,1.9997677
486,1.8695745
487,1.0128722
488,1.0450532
489,1.0701642
490,1.2535542
491,1.3675194
492,1.3090776
493,1.0193381
494,1.9708561
495,1.7323499
496,1.1017435
497,1.6321889
498,1.0621269
499,1.7252123
500,1.4591925
501,1.7294155
502,1.7157725
503,1.150629
504,1.1356393
505,1.5472567
506,1.6752019
507,1.1235137
508,1.065573
509,1.9987926
510,1.2106788
511,1.6057744
512,1.2241073
513,1.6759477
514,1.9151636
515,1.1233153
516,1.2603083
517,1.3989764
518,1.1197658
519,1.2077162
520,1.0464735
521,1.0178077
522,1.9941663
523,1.4828532
524,1.4083749
525,1.9997123
526,1.9610721
527,1.9624271
528,1.9986485
529,1.9402083
530,1.9847234
531,1.1704612
532,1.5922983
533,1.2510933
534,1.245265
535,1.2317083
536,1.5294348
537,1.9450349
538,1.5529355
539,1.4316243
540,1.8273021
541,1.1065892
542,1.9997796
543,1.7383648
544,1.4577854
545,1.6216195
546,1.999672
547,1.5923262
548,1.9813921
549,1.7642837
550,1.5719267
551,1.1287564
552,1.0779293
553,1.9791803
554,1.7120686
555,1.8159877
556,1.0495653
557,1.3735497
558,1.703503
559,1.722013
560,1.928592
561,1.8682755
562,1.5055548
563,1.9701189
564,1.080813
565,1.6894195
566,1.3170235
567,1.6776487
568,1.9995695
569,1.1288761
570,1.9041408
571,1.9516387
572,1.9539567
573,1.783448
574,1.657797
575,1.8935606
576,1.8581347
577,1.0418221
578,1.4998842
579,1.894714
580,1.0289279
581,1.9959409
582,1.9822283
583,1.692767
584,1.9544137
585,1.2987133
586,1.3766618
587,1.3847363
588,1.7263416
589,1.2242091
590,1.7744385
591,1.612526
592,1.4138241
593,1.0032005
594,1.4127638
595,1.3656366
596,1.3353065
597,1.0783594
598,1.2801929
599,1.3354081
600,1.6727552
601,1.712578
602,1.9824082
603,1.998658
604,1.402561
605,1.2664813
606,1.2736135
607,1.1783183
608,1.9765838
609,1.8656447
610,1.2745998
611,1.3687366
612,1.7331736
613,1.5710297
614,1.0029967
615,1.3698207
616,1.1511488
617,1.0690708
618,1.1985599
619,1.3866321
620,1.3087114
621,1.9377587
622,1.10302
623,1.0310441
624,1.6880054
625,1.3563225
626,1.9313321
627,1.9943196
628,1.9978625
629,1.996968
630,1.9823928
631,1.0403925
632,1.995862
633,1.1999209
634,1.9699874
635,1.7385739
636,1.2462488
637,1.0959768
638,1.0671549
639,1.177196
640,1.997935
641,1.4744095
642,1.5225132
643,1.1974665
644,1.5630949
645,1.0559055
646,1.8437724
647,1.140257
648,1.0252924
649,1.3565608
650,1.9997739
651,1.5703323
652,1.379244
653,1.355917
654,1.7934536
655,1.5649928
656,1.7274435
657,1.2302724
658,1.9997193
659,1.8649104
660,1.4973464
661,1.8824873
662,1.9236335
663,1.4833452
664,1.943683
665,1.354644
666,1.449368
667,1.1700664
668,1.9969497
669,1.5313619
670,1.1015795
671,1.9360158
672,1.9985366
673,1.3472375
674,1.1953686
675,1.0298629
676,1.998741
677,1.0495311
678,1.7926973
679,1.6556365
680,1.4061961
681,1.9368793
682,1.9999535
683,1.9888123
684,1.4582416
685,1.7667356
686,1.3579962
687,1.4015914
688,1.8291284
689,1.7194695
690,1.008978
691,1.4856596
692,1.9991035
693,1.8986158
694,1.399025
695,1.7588704
696,1.999968
697,1.5620201
698,1.8410274
699,1.1793503
700,1.1317075
701,1.2435937
702,1.1018087
703,1.8699921
704,1.9999013
705,1.9988345
706,1.9833771
707,1.9922681
708,1.8606321
709,1.6558903
710,1.9992945
711,1.7561517
712,1.3372092
713,1.0307145
714,1.9997597
715,1.9887496
716,1.838848
717,1.7819016
718,1.9433103
719,1.6532875
720,1.6955732
721,1.9703196
722,1.2233386
723,1.9998299
724,1.5961479
725,1.0565472
726,1.6389204
727,1.9808952
728,1.6173223
729,1.4393512
730,1.9672878
731,1.5221907
732,1.9995959
733,1.6774924
734,1.6643858
735,1.9433448
736,1.998859
737,1.9560599
738,1.9682451
739,1.9811689
740,1.418457
741,1.800308
742,1.9939735
743,1.7000012
744,1.3108431
745,1.1038169
746,1.5138776
747,1.163947
748,1.7202793
749,1.4414696
750,1.908795
751,1.4362199
752,1.2392256
753,1.8262271
754,1.1087661
755,1.5350922
756,1.9987879
757,1.3713236
758,1.2374284
759,1.8282106
760,1.0044721
761,1.8406959
762,1.6066034
763,1.0355543
764,1.8086679
765,1.79177
766,1.9998007
767,1.332844
768,1.9402872
769,1.9948319
770,1.4060961
771,1.8708336
772,1.4479434
773,1.5281996
774,1.3625554
775,1.009837
776,1.6429334
777,1.1556305
778,1.3656048
779,1.9530548
780,1.9960078
781,1.5228057
782,1.370012
783,1.3411126
784,1.7309195
785,1.4530535
786,1.0490865
787,1.0860735
788,1.7623585
789,1.6534
790,1.7044655
791,1.15047
792,1.6016287
793,1.3118962
794,1.377476
795,1.6156425
796,1.1709224
797,1.8553855
798,1.1193995
799,1.1646316
800,1.5572966
801,1.9774998
802,1.9583299
803,1.9736955
804,1.3898461
805,1.3404511
806,1.1195484
807,1.6043316
808,1.0421866
809,1.3403465
810,1.0085274
811,1.2105153
812,1.3988311
813,1.0165826
814,1.9996837
815,1.0062727
816,1.5190315
817,1.7967936
818,1.2961448
819,1.9927137
820,1.8690486
821,1.998194
822,1.4459244
823,1.2385727
824,1.9994432
825,1.9513303
826,1.6086701
827,1.8807063
828,1.9942898
829,1.945145
830,1.3536549
831,1.1361558
832,1.5025731
833,1.0298206
834,1.4868233
835,1.9700154
836,1.285024
837,1.2666082
838,1.1629882
839,1.0657082
840,1.688459
841,1.0158367
842,1.9984598
843,1.9936253
844,1.1217741
845,1.7222642
846,1.7511575
847,1.4320813
848,1.702039
849,1.2462399
850,1.867564
851,1.6149395
852,1.995503
853,1.7754817
854,1.4055638
855,1.9124027
856,1.8098723
857,1.6640584
858,1.1866877
859,1.1874835
860,1.3842736
861,1.3039331
862,1.2882903
863,1.0262454
864,1.4492068
865,1.9000356
866,1.3767325
867,1.2055227
868,1.352194
869,1.077549
870,1.766075
871,1.9712758
872,1.0462838
873,1.9188875
874,1.0287603
875,1.9509331
876,1.2694625
877,1.569585
878,1.7569295
879,1.8024167
880,1.6394562
881,1.3623722
882,1.1727781
883,1.8971549
884,1.0748286
885,1.7289426
886,1.1900203
887,1.9474852
888,1.9253123
889,1.7030306
890,1.2425203
891,1.568289
892,1.2027053
893,1.1331877
894,1.9874846
895,1.0453507
896,1.5934529
897,1.9999486
898,1.9998045
899,1.7586436
900,1.9965352
901,1.1058682
902,1.7935504
903,1.2703174
904,1.7890345
905,1.4551907
906,1.2416003
907,1.1705914
908,1.0900493
909,1.9853303
910,1.0750766
911,1.1246327
912,1.2457706
913,1.1532598
914,1.152523
915,1.1397812
916,1.447086
917,1.2469869
918,1.3195181
919,1.714952
920,1.2943879
921,1.406772
922,1.4350808
923,1.9970478
924,1.1496084
925,1.0203135
926,1.9783152
927,1.0229745
928,1.9998486
929,1.0617396
930,1.8061424
931,1.9617392
932,1.4510177
933,1.9997914
934,1.1547719
935,1.1822203
936,1.0460373
937,1.9883959
938,1.9994825
939,1.9113147
940,1.7796427
941,1.1019795
942,1.3543427
943,1.1503218
944,1.2134537
945,1.9993846
946,1.47381
947,1.9859786
948,1.0843405
949,1.0586758
950,1.9270426
951,1.6970829
952,1.5460418
953,1.4145725
954,1.2969376
955,1.5868366
956,1.2926598
957,1.3335093
958,1.9982007
959,1.8030169
960,1.5564058
961,1.2645507
962,1.347363
963,1.063099
964,1.1052198
965,1.9981486
966,1.0036646
967,1.5868348
968,1.9970131
969,1.6888164
970,1.0428238
971,1.6830921
972,1.5490143
973,1.2505479
974,1.9361778
975,1.1491286
976,1.4396796
977,1.9999179
978,1.2424352
979,1.0277649
980,1.9995587
981,1.3531628
982,1.9989976
983,1.012638
984,1.9699708
985,1.9994061
986,1.8884895
987,1.9387064
988,1.4103043
989,1.2743399
990,1.100384
991,1.3652539
992,1.9306362
993,1.4696635
994,1.4924676
995,1.056027
996,1.7205124
997,1.2184283
998,1.2352457
999,1.1562192
1000,1.2735244
1001,1.7669699
1002,1.9166694
1003,1.1540492
1004,1.9743123
1005,1.3312595
1006,1.0169854
1007,1.5431842
1008,1.1702198
1009,1.2175379
1010,1.2731768
1011,1.4424939
1012,1.0205773
1013,1.2150034
1014,1.9849249
1015,1.7337688
1016,1.9997905
1017,1.4840198
1018,1.1012576
1019,1.106961
1020,1.9633205
1021,1.8808106
1022,1.263959
1023,1.0090245
1024,1.8619277
1025,1.2290193
1026,1.1147009
1027,1.2437693
1028,1.3338873
1029,1.2268121
1030,1.9941045
1031,1.9843168
1032,1.3777585
1033,1.6153221
1034,1.7879952
1035,1.7635844
1036,1.277771
1037,1.5118206
1038,1.7224933
1039,1.9989367
1040,1.5338839
1041,1.135175
1042,1.0767709
1043,1.2842586
1044,1.9991958
1045,1.0777717
1046,1.1553727
1047,1.985907
1048,1.0791599
1049,1.0137241
1050,1.7437097
1051,1.621418
1052,1.485332
1053,1.5322728
1054,1.5597312
1055,1.508955
1056,1.5118896
1057,1.9732735
1058,1.2599854
1059,1.2050803
1060,1.529358
1061,1.3160719
1062,1.2285056
1063,1.445357
1064,1.3274548
1065,1.6893628
1066,1.9885523
1067,1.7607199
1068,1.0478743
1069,1.7411063
1070,1.8049719
1071,1.9258009
1072,1.346441
1073,1.5995959
1074,1.9920719
1075,1.4845265
1076,1.3198591
1077,1.9999623
1078,1.4505138
1079,1.9620451
1080,1.9989222
1081,1.4668529
1082,1.3119814
1083,1.999947
1084,1.4100771
1085,1.777611
1086,1.4152857
1087,1.3398377
1088,1.3514061
1089,1.9996183
1090,1.191088
1091,1.8944669
1092,1.7439235
1093,1.4628553
1094,1.2520624
1095,1.0425835
1096,1.6030017
1097,1.9981155
1098,1.9998773
1099,1.668448
1100,1.3582277
1101,1.0684593
1102,1.5804901
1103,1.9998044
1104,1.4615126
1105,1.50776
1106,1.0487114
1107,1.6671603
1108,1.351962
1109,1.0500911
1110,1.2759031
1111,1.3090725
1112,1.037533
1113,1.0678473
1114,1.9990959
1115,1.9156338
1116,1.8842063
1117,1.5128448
1118,1.1192532
1119,1.7303606
1120,1.593334
1121,1.8026167
1122,1.6781591
1123,1.9852456
1124,1.7998288
1125,1.922521
1126,1.2786162
1127,1.9975849
1128,1.0057707
1129,1.184334
1130,1.2006671
1131,1.7010809
1132,1.0603836
1133,1.5620185
1134,1.437107
1135,1.8516115
1136,1.0661048
1137,1.0139184
1138,1.9680659
1139,1.0183418
1140,1.981896
1141,1.9764112
1142,1.7228014
1143,1.2787534
1144,1.1440319
1145,1.3992547
1146,1.0614522
1147,1.7583805
1148,1.7471402
1149,1.9997787
1150,1.0393792
1151,1.9978522
1152,1.319029
1153,1.0721338
1154,1.1118593
1155,1.4136076
1156,1.8051441
1157,1.1748757
1158,1.1118282
1159,1.5277086
1160,1.948908
1161,1.5788175
1162,1.0824003
1163,1.7748475
1164,1.4357978
1165,1.2031487
1166,1.4603422
1167,1.1733851
1168,1.8053766
1169,1.9903828
1170,1.7917995
1171,1.1963729
1172,1.1515032
1173,1.9985352
1174,1.4103895
1175,1.137492
1176,1.9835837
1177,1.994625
1178,1.0381941
1179,1.7791282
1180,1.255571
1181,1.9978305
1182,1.200669
1183,1.1688963
1184,1.1406462
1185,1.161618
1186,1.5386178
1187,1.9998004
1188,1.9656922
1189,1.1969978
1190,1.6356575
1191,1.3947245
1192,1.9992324
1193,1.8629427
1194,1.3469183
1195,1.8957682
1196,1.917439
1197,1.1460801
1198,1.9249364
1199,1.2654434
1200,1.7294048
1201,1.9997172
1202,1.4623122
1203,1.132772
1204,1.0398914
1205,1.2463717
1206,1.9994587
1207,1.9712136
1208,1.8738494
1209,1.9987288
1210,1.321586
1211,1.5089977
1212,1.969777
1213,1.0829251
1214,1.5535836
1215,1.6362422
1216,1.0201243
1217,1.0570827
1218,1.6432995
1219,1.7898221
1220,1.9989227
1221,1.9997972
1222,1.1343675
1223,1.5087849
1224,1.9971558
1225,1.5785891
1226,1.0805728
1227,1.3224456
1228,1.1990023
1229,1.5145476
1230,1.5043825
1231,1.8794078
1232,1.1239539
1233,1.8881392
1234,1.1271979
1235,1.3403411
1236,1.5066503
1237,1.3406445
1238,1.9892005
1239,1.0137161
1240,1.0208212
1241,1.0071738
1242,1.0516766
1243,1.1632925
1244,1.3305919
1245,1.8351595
